時間,設備,值
2024-10-19 10:17:20,SA-43/LED_LEVEL,2
2024-10-19 10:17:25,SA-43/LED_LEVEL,1
2024-10-19 10:17:26,SA-43/LED_LEVEL,0
2024-10-19 10:17:26,SA-43/LED_LEVEL,1
2024-10-19 10:17:27,SA-43/LED_LEVEL,2
2024-10-19 11:54:15,SA-43/LED_LEVEL,2
2024-10-19 11:54:19,SA-43/LED_LEVEL,4
2024-10-19 13:57:01,SA-43/LED_LEVEL,4
2024-10-19 14:15:47,SA-43/TEMPERATURE,29.39
2024-10-19 14:15:47,SA-43/LED_LEVEL,4
2024-10-19 14:15:49,SA-43/TEMPERATURE,28.92
2024-10-19 14:15:50,SA-43/LED_LEVEL,3
2024-10-19 14:15:51,SA-43/TEMPERATURE,29.39
2024-10-19 14:15:51,SA-43/LED_LEVEL,2
2024-10-19 14:15:52,SA-43/LED_LEVEL,4
2024-10-19 14:15:53,SA-43/TEMPERATURE,29.85
2024-10-19 14:15:53,SA-43/LED_LEVEL,5
2024-10-19 14:15:55,SA-43/TEMPERATURE,29.39
2024-10-19 14:15:56,SA-43/LED_LEVEL,3
2024-10-19 14:15:56,SA-43/LED_LEVEL,2
2024-10-19 14:15:57,SA-43/LED_LEVEL,4
2024-10-19 14:15:58,SA-43/LED_LEVEL,2
2024-10-19 14:15:59,SA-43/TEMPERATURE,28.92
2024-10-19 14:15:59,SA-43/LED_LEVEL,1
2024-10-19 14:16:00,SA-43/LED_LEVEL,2
2024-10-19 14:16:01,SA-43/TEMPERATURE,29.39
2024-10-19 14:16:03,SA-43/TEMPERATURE,28.92
2024-10-19 14:16:05,SA-43/TEMPERATURE,29.39
2024-10-19 14:16:07,SA-43/TEMPERATURE,29.85
2024-10-19 14:16:09,SA-43/TEMPERATURE,29.39
2024-10-19 14:16:11,SA-43/TEMPERATURE,29.85
2024-10-19 14:16:13,SA-43/TEMPERATURE,29.39
2024-10-19 14:16:17,SA-43/TEMPERATURE,29.85
2024-10-19 14:16:23,SA-43/TEMPERATURE,29.39
2024-10-19 14:16:35,SA-43/LED_LEVEL,2
2024-10-19 14:16:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:16:39,SA-43/TEMPERATURE,29.39
2024-10-19 14:16:41,SA-43/TEMPERATURE,29.85
2024-10-19 14:16:45,SA-43/TEMPERATURE,28.92
2024-10-19 14:16:47,SA-43/TEMPERATURE,29.39
2024-10-19 14:16:51,SA-43/TEMPERATURE,28.92
2024-10-19 14:16:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:17:01,SA-43/TEMPERATURE,28.92
2024-10-19 14:17:03,SA-43/TEMPERATURE,29.39
2024-10-19 14:17:07,SA-43/TEMPERATURE,29.85
2024-10-19 14:17:09,SA-43/TEMPERATURE,28.92
2024-10-19 14:17:11,SA-43/TEMPERATURE,29.85
2024-10-19 14:17:13,SA-43/TEMPERATURE,29.39
2024-10-19 14:17:15,SA-43/TEMPERATURE,29.85
2024-10-19 14:17:17,SA-43/TEMPERATURE,28.92
2024-10-19 14:17:19,SA-43/TEMPERATURE,29.39
2024-10-19 14:17:23,SA-43/TEMPERATURE,28.92
2024-10-19 14:17:31,SA-43/TEMPERATURE,29.39
2024-10-19 14:17:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:17:41,SA-43/TEMPERATURE,29.39
2024-10-19 14:17:43,SA-43/TEMPERATURE,29.85
2024-10-19 14:17:45,SA-43/TEMPERATURE,29.39
2024-10-19 14:17:51,SA-43/TEMPERATURE,28.92
2024-10-19 14:17:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:18:01,SA-43/TEMPERATURE,28.92
2024-10-19 14:18:03,SA-43/TEMPERATURE,29.39
2024-10-19 14:18:07,SA-43/TEMPERATURE,29.85
2024-10-19 14:18:09,SA-43/TEMPERATURE,29.39
2024-10-19 14:18:17,SA-43/TEMPERATURE,29.85
2024-10-19 14:18:19,SA-43/TEMPERATURE,28.92
2024-10-19 14:18:21,SA-43/TEMPERATURE,29.85
2024-10-19 14:18:23,SA-43/TEMPERATURE,29.39
2024-10-19 14:18:29,SA-43/TEMPERATURE,29.85
2024-10-19 14:18:31,SA-43/TEMPERATURE,29.39
2024-10-19 14:18:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:18:45,SA-43/TEMPERATURE,29.39
2024-10-19 14:18:51,SA-43/TEMPERATURE,29.85
2024-10-19 14:18:53,SA-43/TEMPERATURE,28.92
2024-10-19 14:18:55,SA-43/TEMPERATURE,29.39
2024-10-19 14:19:01,SA-43/TEMPERATURE,29.85
2024-10-19 14:19:03,SA-43/TEMPERATURE,29.39
2024-10-19 14:19:05,SA-43/TEMPERATURE,28.92
2024-10-19 14:19:07,SA-43/TEMPERATURE,29.39
2024-10-19 14:19:11,SA-43/TEMPERATURE,28.92
2024-10-19 14:19:17,SA-43/TEMPERATURE,29.39
2024-10-19 14:19:27,SA-43/TEMPERATURE,28.92
2024-10-19 14:19:31,SA-43/TEMPERATURE,29.39
2024-10-19 14:19:33,SA-43/TEMPERATURE,28.92
2024-10-19 14:19:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:19:39,SA-43/TEMPERATURE,29.39
2024-10-19 14:19:43,SA-43/TEMPERATURE,29.85
2024-10-19 14:19:45,SA-43/TEMPERATURE,28.92
2024-10-19 14:19:47,SA-43/TEMPERATURE,29.39
2024-10-19 14:19:49,SA-43/TEMPERATURE,29.85
2024-10-19 14:19:51,SA-43/TEMPERATURE,29.39
2024-10-19 14:19:55,SA-43/TEMPERATURE,29.85
2024-10-19 14:20:05,SA-43/TEMPERATURE,29.39
2024-10-19 14:20:07,SA-43/TEMPERATURE,28.92
2024-10-19 14:20:09,SA-43/TEMPERATURE,29.39
2024-10-19 14:20:11,SA-43/TEMPERATURE,29.85
2024-10-19 14:20:13,SA-43/TEMPERATURE,29.39
2024-10-19 14:20:15,SA-43/TEMPERATURE,29.85
2024-10-19 14:20:17,SA-43/TEMPERATURE,28.92
2024-10-19 14:20:21,SA-43/TEMPERATURE,29.85
2024-10-19 14:20:23,SA-43/TEMPERATURE,29.39
2024-10-19 14:20:25,SA-43/TEMPERATURE,29.85
2024-10-19 14:20:27,SA-43/TEMPERATURE,29.39
2024-10-19 14:20:35,SA-43/TEMPERATURE,29.85
2024-10-19 14:20:39,SA-43/TEMPERATURE,29.39
2024-10-19 14:20:45,SA-43/TEMPERATURE,28.92
2024-10-19 14:20:47,SA-43/TEMPERATURE,29.39
2024-10-19 14:20:49,SA-43/TEMPERATURE,29.85
2024-10-19 14:20:53,SA-43/TEMPERATURE,28.92
2024-10-19 14:20:55,SA-43/TEMPERATURE,29.39
2024-10-19 14:20:57,SA-43/TEMPERATURE,28.92
2024-10-19 14:20:59,SA-43/TEMPERATURE,29.39
2024-10-19 14:21:03,SA-43/TEMPERATURE,28.92
2024-10-19 14:21:05,SA-43/TEMPERATURE,29.85
2024-10-19 14:21:07,SA-43/TEMPERATURE,29.39
2024-10-19 14:21:15,SA-43/TEMPERATURE,28.92
2024-10-19 14:21:21,SA-43/TEMPERATURE,29.39
2024-10-19 14:21:25,SA-43/TEMPERATURE,29.85
2024-10-19 14:21:31,SA-43/TEMPERATURE,28.92
2024-10-19 14:21:35,SA-43/TEMPERATURE,29.39
2024-10-19 14:21:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:21:39,SA-43/TEMPERATURE,29.39
2024-10-19 14:21:41,SA-43/TEMPERATURE,28.92
2024-10-19 14:21:43,SA-43/TEMPERATURE,29.85
2024-10-19 14:21:45,SA-43/TEMPERATURE,29.39
2024-10-19 14:21:47,SA-43/TEMPERATURE,28.92
2024-10-19 14:21:49,SA-43/TEMPERATURE,29.85
2024-10-19 14:21:51,SA-43/TEMPERATURE,28.92
2024-10-19 14:21:53,SA-43/TEMPERATURE,29.39
2024-10-19 14:21:57,SA-43/TEMPERATURE,28.92
2024-10-19 14:21:59,SA-43/TEMPERATURE,29.85
2024-10-19 14:22:01,SA-43/TEMPERATURE,29.39
2024-10-19 14:22:03,SA-43/TEMPERATURE,29.85
2024-10-19 14:22:05,SA-43/TEMPERATURE,28.92
2024-10-19 14:22:07,SA-43/TEMPERATURE,29.85
2024-10-19 14:22:09,SA-43/TEMPERATURE,29.39
2024-10-19 14:22:15,SA-43/TEMPERATURE,29.85
2024-10-19 14:22:17,SA-43/TEMPERATURE,29.39
2024-10-19 14:22:21,SA-43/TEMPERATURE,29.85
2024-10-19 14:22:25,SA-43/TEMPERATURE,28.92
2024-10-19 14:22:27,SA-43/TEMPERATURE,29.39
2024-10-19 14:22:29,SA-43/TEMPERATURE,29.85
2024-10-19 14:22:35,SA-43/TEMPERATURE,29.39
2024-10-19 14:22:37,SA-43/TEMPERATURE,29.85
2024-10-19 14:23:13,SA-43/TEMPERATURE,29.39
2024-10-19 14:23:15,SA-43/TEMPERATURE,29.85
2024-10-19 14:23:17,SA-43/TEMPERATURE,29.39
2024-10-19 14:23:19,SA-43/TEMPERATURE,29.85
2024-10-19 14:23:25,SA-43/TEMPERATURE,29.39
2024-10-19 14:23:29,SA-43/TEMPERATURE,29.85
2024-10-19 14:23:57,SA-43/TEMPERATURE,29.39
